V_rf,V_dc,V_endcap,rod_spacing,rod_radius,rod_length,endcap_offset,endcap_thick,endcap_rad,depth_eV,offset_mm,P_est_mW,score
300.0,50.0,10.0,0.005,0.002,0.04,0.001,0.0005,0.006,0.11347767821777666,10.000001249999922,8797.300554501311,0.23888850218817742
315.0,50.0,10.0,0.005,0.002,0.04,0.001,0.0005,0.006,0.11338234739910291,10.000001249999922,9699.023861337693,0.22829924375712168
300.0,52.5,10.0,0.005,0.002,0.04,0.001,0.0005,0.006,0.12016662445876847,10.000001249999922,8797.300554501311,0.24037493468601046
300.0,50.0,10.5,0.005,0.002,0.04,0.001,0.0005,0.006,0.11254196727863786,10.000001249999922,8797.300554501311,0.23868056642394747
300.0,50.0,10.0,0.00525,0.002,0.04,0.001,0.0005,0.006,0.17916561642976347,10.000001249999922,7979.410933788036,0.2651371231588855
300.0,50.0,10.0,0.005,0.0021000000000000003,0.04,0.001,0.0005,0.006,0.08048983671541521,10.000001249999922,8797.300554501311,0.23155787074402273
300.0,50.0,10.0,0.005,0.002,0.042,0.001,0.0005,0.006,0.11684036304230005,10.000001249999922,9699.023861337693,0.22906769167774677
300.0,50.0,10.0,0.005,0.002,0.04,0.0010500000000000002,0.0005,0.006,0.11758372875749501,10.000001249999922,8797.300554501311,0.23980095786356898
285.0,50.71428571428571,10.142857142857142,0.005071428571428573,0.002028571428571428,0.040571428571428585,0.001014285714285714,,,,,,-1000000.0
